Date,Open,Close
1990-05-01,23.75,23.75
1990-05-02,23.62,24.37
1990-05-03,24.5,24.0
1990-05-04,24.25,24.0
1990-05-07,24.0,23.87
1990-05-08,23.62,24.62
1990-05-09,24.37,24.37
1990-05-10,24.25,23.87
1990-05-11,24.0,24.5
1990-05-14,24.25,24.0
1990-05-15,23.75,23.62
1990-05-16,23.75,23.87
1990-05-17,24.0,24.0
1990-05-18,24.12,24.62
1990-05-21,24.62,24.87
1990-05-22,25.37,25.25
1990-05-23,25.75,25.62
1990-05-24,25.62,25.5
1990-05-25,25.25,25.12
1990-05-29,25.12,25.5
1990-05-30,25.62,25.62
1990-05-31,25.75,26.5
