Date,Open,Close
1990-10-01,33.88,34.25
1990-10-02,34.62,34.62
1990-10-03,34.88,34.38
1990-10-04,34.62,35.75
1990-10-05,35.5,35.12
1990-10-08,35.38,34.25
1990-10-09,34.25,33.0
1990-10-10,33.0,32.75
1990-10-11,32.75,31.12
1990-10-12,31.38,32.38
1990-10-15,32.38,33.25
1990-10-16,33.0,32.38
1990-10-17,32.38,32.62
1990-10-18,32.88,33.38
1990-10-19,33.25,34.38
1990-10-22,34.25,34.75
1990-10-23,34.75,34.12
1990-10-24,34.38,34.38
1990-10-25,34.12,33.25
1990-10-26,33.38,32.88
1990-10-29,32.75,31.62
1990-10-30,32.0,32.12
1990-10-31,32.25,32.88
