Date,Open,Close
1991-01-02,55.88,55.75
1991-01-03,55.75,55.12
1991-01-04,54.0,54.0
1991-01-07,53.62,53.12
1991-01-08,53.25,52.62
1991-01-09,53.12,52.25
1991-01-10,52.62,52.62
1991-01-11,52.62,52.5
1991-01-14,52.0,51.75
1991-01-15,51.62,52.0
1991-01-16,51.88,51.25
1991-01-17,52.75,53.38
1991-01-18,53.62,54.75
1991-01-21,54.25,55.25
1991-01-22,55.25,52.62
1991-01-23,52.62,50.25
1991-01-24,50.62,51.0
1991-01-25,51.0,51.12
1991-01-28,51.25,51.5
1991-01-29,51.5,51.62
1991-01-30,51.62,51.62
1991-01-31,51.62,52.25
