Date,Open,Close
1991-04-01,28.5,28.38
1991-04-02,28.38,28.0
1991-04-03,27.88,27.88
1991-04-04,27.88,28.25
1991-04-05,28.25,27.88
1991-04-08,27.75,28.13
1991-04-09,28.13,27.75
1991-04-10,27.75,28.0
1991-04-11,28.0,28.0
1991-04-12,28.25,28.25
1991-04-15,28.25,28.38
1991-04-16,28.38,28.63
1991-04-17,28.75,28.75
1991-04-18,28.63,28.25
1991-04-19,28.13,28.13
1991-04-22,28.13,27.38
1991-04-23,27.5,27.75
1991-04-24,27.63,28.0
1991-04-25,27.88,27.63
1991-04-26,27.63,27.5
1991-04-29,27.5,27.63
1991-04-30,26.88,27.63
