Date,Open,Close
1991-05-01,33.63,34.13
1991-05-02,34.25,34.25
1991-05-03,34.38,34.38
1991-05-06,34.13,34.25
1991-05-07,34.25,34.13
1991-05-08,34.25,34.25
1991-05-09,34.25,34.25
1991-05-10,34.13,33.75
1991-05-13,33.75,33.75
1991-05-14,33.63,33.25
1991-05-15,33.25,33.38
1991-05-16,33.63,33.38
1991-05-17,33.38,33.63
1991-05-20,33.5,34.0
1991-05-21,33.75,34.0
1991-05-22,34.0,33.75
1991-05-23,33.5,33.38
1991-05-24,33.38,33.38
1991-05-28,33.38,33.63
1991-05-29,33.63,33.63
1991-05-30,33.88,34.0
1991-05-31,34.0,34.0
