Date,Open,Close
1991-07-01,72.75,73.88
1991-07-02,73.75,73.88
1991-07-03,73.75,74.25
1991-07-05,74.25,74.62
1991-07-08,74.0,75.0
1991-07-09,75.25,74.0
1991-07-10,74.5,72.62
1991-07-11,71.75,71.5
1991-07-12,71.0,71.0
1991-07-15,71.5,72.25
1991-07-16,72.0,73.12
1991-07-17,73.5,73.38
1991-07-18,73.5,73.88
1991-07-19,74.12,73.62
1991-07-22,74.25,73.5
1991-07-23,73.5,72.75
1991-07-24,73.0,72.75
1991-07-25,73.0,73.12
1991-07-26,73.12,73.25
1991-07-29,73.25,73.62
1991-07-30,73.88,74.88
1991-07-31,75.5,76.38
