Date,Open,Close
1991-08-01,79.87,79.12
1991-08-02,79.25,78.5
1991-08-05,77.87,78.0
1991-08-06,77.87,78.75
1991-08-07,78.75,78.0
1991-08-08,78.25,77.75
1991-08-09,77.75,77.87
1991-08-12,77.87,77.75
1991-08-13,77.87,79.0
1991-08-14,78.75,77.75
1991-08-15,78.0,77.87
1991-08-16,77.75,77.63
1991-08-19,74.0,74.37
1991-08-20,74.75,73.88
1991-08-21,73.88,74.75
1991-08-22,75.0,75.0
1991-08-23,75.0,74.13
1991-08-26,73.88,73.75
1991-08-27,73.0,74.5
1991-08-28,74.75,75.25
1991-08-29,75.13,75.25
1991-08-30,75.5,74.62
