Date,Open,Close
1991-08-01,29.25,29.13
1991-08-02,29.5,29.63
1991-08-05,29.5,29.5
1991-08-06,29.25,30.0
1991-08-07,29.88,29.88
1991-08-08,29.75,29.88
1991-08-09,29.88,29.75
1991-08-12,29.25,29.38
1991-08-13,29.38,29.63
1991-08-14,29.75,29.88
1991-08-15,29.88,30.38
1991-08-16,30.38,30.38
1991-08-19,29.5,29.5
1991-08-20,29.63,29.88
1991-08-21,30.25,30.25
1991-08-22,30.25,30.5
1991-08-23,30.25,30.38
1991-08-26,30.25,30.38
1991-08-27,30.38,30.63
1991-08-28,30.5,30.75
1991-08-29,29.75,30.0
1991-08-30,30.13,30.0
