Date,Open,Close
1991-10-01,34.75,35.25
1991-10-02,35.12,35.75
1991-10-03,35.75,35.63
1991-10-04,35.63,35.0
1991-10-07,34.88,34.88
1991-10-08,35.12,34.5
1991-10-09,35.75,35.75
1991-10-10,35.87,36.25
1991-10-11,36.25,36.0
1991-10-14,36.37,36.88
1991-10-15,37.0,38.75
1991-10-16,39.0,39.63
1991-10-17,39.75,39.0
1991-10-18,38.88,39.0
1991-10-21,39.25,38.88
1991-10-22,38.62,38.25
1991-10-23,38.5,38.25
1991-10-24,38.5,37.5
1991-10-25,37.5,37.12
1991-10-28,37.12,37.0
1991-10-29,37.0,37.37
1991-10-30,37.5,37.12
1991-10-31,37.12,36.13
