Date,Open,Close
1991-10-01,21.0,20.88
1991-10-02,20.88,20.88
1991-10-03,20.88,20.75
1991-10-04,20.88,20.75
1991-10-07,20.75,20.63
1991-10-08,20.75,20.63
1991-10-09,20.63,20.38
1991-10-10,20.5,20.13
1991-10-11,20.0,20.13
1991-10-14,20.13,20.13
1991-10-15,20.25,20.63
1991-10-16,20.75,21.25
1991-10-17,21.63,23.0
1991-10-18,23.0,22.75
1991-10-21,22.75,22.25
1991-10-22,22.38,22.63
1991-10-23,22.38,22.75
1991-10-24,22.75,22.63
1991-10-25,22.38,22.38
1991-10-28,22.63,22.88
1991-10-29,22.88,23.0
1991-10-30,22.88,22.5
1991-10-31,22.5,22.5
