Date,Open,Close
1991-10-01,69.75,69.87
1991-10-02,70.0,70.5
1991-10-03,70.25,69.12
1991-10-04,69.12,68.37
1991-10-07,68.37,67.25
1991-10-08,67.12,67.0
1991-10-09,67.0,65.37
1991-10-10,65.5,67.25
1991-10-11,67.25,66.5
1991-10-14,66.5,67.62
1991-10-15,67.75,70.0
1991-10-16,71.0,71.25
1991-10-17,71.0,71.5
1991-10-18,71.5,71.37
1991-10-21,71.25,71.0
1991-10-22,71.0,71.12
1991-10-23,71.12,72.0
1991-10-24,71.62,71.12
1991-10-25,70.62,69.12
1991-10-28,69.5,70.25
1991-10-29,70.12,70.87
1991-10-30,70.87,70.12
1991-10-31,70.25,69.0
