Date,Open,Close
1992-03-02,33.38,34.0
1992-03-03,33.88,34.62
1992-03-04,34.5,34.12
1992-03-05,33.88,33.62
1992-03-06,33.5,32.88
1992-03-09,32.62,32.38
1992-03-10,32.38,32.5
1992-03-11,32.62,32.62
1992-03-12,32.62,32.88
1992-03-13,33.5,33.75
1992-03-16,34.75,36.12
1992-03-17,36.12,35.75
1992-03-18,35.88,37.38
1992-03-19,37.25,37.0
1992-03-20,37.0,36.62
1992-03-23,36.25,36.62
1992-03-24,36.62,35.88
1992-03-25,35.88,36.25
1992-03-26,36.25,35.75
1992-03-27,35.88,35.38
1992-03-30,35.12,35.0
1992-03-31,34.88,34.5
