Date,Open,Close
1992-10-01,24.0,23.13
1992-10-02,23.38,22.63
1992-10-05,22.38,23.0
1992-10-06,23.0,22.88
1992-10-07,23.0,23.0
1992-10-08,22.88,23.25
1992-10-09,23.5,22.88
1992-10-12,22.75,23.25
1992-10-13,23.38,23.38
1992-10-14,23.25,23.5
1992-10-15,23.38,23.63
1992-10-16,23.5,24.75
1992-10-19,24.63,25.63
1992-10-20,26.5,25.5
1992-10-21,25.88,24.88
1992-10-22,26.25,26.13
1992-10-23,26.38,25.88
1992-10-26,25.88,26.0
1992-10-27,26.13,26.0
1992-10-28,26.0,26.5
1992-10-29,27.0,26.63
1992-10-30,26.75,26.75
