Date,Open,Close
1992-12-01,61.0,61.38
1992-12-02,61.5,61.25
1992-12-03,61.5,63.0
1992-12-04,63.0,63.75
1992-12-07,64.0,65.0
1992-12-08,65.0,64.88
1992-12-09,64.88,64.75
1992-12-10,64.75,64.88
1992-12-11,64.75,64.62
1992-12-14,64.62,64.88
1992-12-15,64.75,64.75
1992-12-16,64.75,65.13
1992-12-17,65.13,67.25
1992-12-18,67.5,67.0
1992-12-21,67.25,67.38
1992-12-22,67.5,67.25
1992-12-23,67.25,67.75
1992-12-24,67.88,68.13
1992-12-28,68.0,67.38
1992-12-29,67.5,67.88
1992-12-30,67.88,68.13
1992-12-31,68.13,67.5
