Date,Open,Close
1993-03-01,69.13,69.38
1993-03-02,69.63,70.63
1993-03-03,71.0,73.0
1993-03-04,72.75,72.25
1993-03-05,72.0,71.75
1993-03-08,71.75,73.13
1993-03-09,73.38,73.0
1993-03-10,73.63,74.0
1993-03-11,74.0,73.13
1993-03-12,72.5,72.5
1993-03-15,72.25,72.0
1993-03-16,72.38,72.38
1993-03-17,72.13,72.63
1993-03-18,72.63,73.25
1993-03-19,73.75,72.63
1993-03-22,72.5,72.13
1993-03-23,72.13,71.25
1993-03-24,71.0,70.5
1993-03-25,70.25,70.0
1993-03-26,70.0,69.63
1993-03-29,69.75,70.5
1993-03-30,70.25,70.75
1993-03-31,70.63,70.88
