Date,Open,Close
1995-03-01,64.5,63.75
1995-03-02,63.63,64.25
1995-03-03,64.0,64.5
1995-03-06,64.13,64.63
1995-03-07,64.75,63.75
1995-03-08,63.75,62.75
1995-03-09,62.75,62.75
1995-03-10,63.0,63.0
1995-03-13,63.5,63.63
1995-03-14,64.0,65.13
1995-03-15,65.13,65.38
1995-03-16,65.13,66.38
1995-03-17,66.25,66.63
1995-03-20,66.5,66.5
1995-03-21,66.5,66.75
1995-03-22,66.63,67.13
1995-03-23,67.25,67.88
1995-03-24,67.88,67.75
1995-03-27,68.13,67.38
1995-03-28,67.25,67.75
1995-03-29,67.63,66.75
1995-03-30,67.0,65.75
1995-03-31,65.0,66.0
