Date,Open,Close
1995-05-01,28.63,27.75
1995-05-02,27.75,27.5
1995-05-03,27.75,27.5
1995-05-04,27.25,26.5
1995-05-05,26.75,26.63
1995-05-08,26.75,27.25
1995-05-09,28.0,29.13
1995-05-10,29.25,29.38
1995-05-11,29.38,29.88
1995-05-12,30.0,29.88
1995-05-15,30.0,29.88
1995-05-16,29.88,29.0
1995-05-17,29.0,28.63
1995-05-18,28.63,28.63
1995-05-19,28.5,28.38
1995-05-22,28.13,28.25
1995-05-23,28.13,28.25
1995-05-24,28.25,27.88
1995-05-25,27.75,27.5
1995-05-26,27.5,27.0
1995-05-30,27.0,26.88
1995-05-31,26.75,27.13
