Date,Open,Close
1995-06-01,49.88,49.75
1995-06-02,49.5,49.62
1995-06-05,49.5,49.75
1995-06-06,49.75,50.5
1995-06-07,50.38,50.38
1995-06-08,50.12,50.25
1995-06-09,50.12,49.75
1995-06-12,49.88,50.62
1995-06-13,50.75,51.0
1995-06-14,51.0,51.25
1995-06-15,51.38,52.25
1995-06-16,52.75,52.75
1995-06-19,53.25,53.38
1995-06-20,53.38,53.38
1995-06-21,53.12,53.0
1995-06-22,52.88,53.75
1995-06-23,53.88,54.38
1995-06-26,54.5,55.5
1995-06-27,55.38,54.12
1995-06-28,53.75,53.75
1995-06-29,53.62,53.88
1995-06-30,54.0,55.0
