Date,Open,Close
1995-06-01,61.63,61.0
1995-06-02,61.0,60.88
1995-06-05,60.88,60.38
1995-06-06,60.38,60.25
1995-06-07,60.0,60.5
1995-06-08,60.38,60.75
1995-06-09,60.5,60.0
1995-06-12,60.0,60.25
1995-06-13,60.63,60.5
1995-06-14,60.38,60.88
1995-06-15,61.0,61.38
1995-06-16,61.5,62.38
1995-06-19,62.13,62.75
1995-06-20,62.63,63.25
1995-06-21,63.38,64.0
1995-06-22,64.38,64.88
1995-06-23,65.0,65.38
1995-06-26,65.38,65.75
1995-06-27,65.75,64.75
1995-06-28,64.75,64.5
1995-06-29,64.63,64.0
1995-06-30,64.63,63.75
