Date,Open,Close
1995-08-01,57.5,57.63
1995-08-02,57.75,57.38
1995-08-03,57.25,57.25
1995-08-04,57.25,58.25
1995-08-07,58.38,56.5
1995-08-08,56.75,57.13
1995-08-09,57.13,57.88
1995-08-10,58.0,58.63
1995-08-11,58.88,58.13
1995-08-14,58.25,58.25
1995-08-15,58.13,58.25
1995-08-16,58.25,58.0
1995-08-17,58.0,58.5
1995-08-18,58.75,58.88
1995-08-21,59.0,59.38
1995-08-22,59.25,59.0
1995-08-23,58.63,59.63
1995-08-24,59.75,59.63
1995-08-25,59.88,60.0
1995-08-28,60.25,60.38
1995-08-29,60.25,60.5
1995-08-30,60.5,60.0
1995-08-31,59.88,60.0
