Date,Open,Close
1995-10-02,46.63,46.0
1995-10-03,46.13,46.25
1995-10-04,46.38,46.63
1995-10-05,46.75,46.25
1995-10-06,46.0,47.25
1995-10-09,47.13,47.13
1995-10-10,46.63,47.38
1995-10-11,47.63,48.0
1995-10-12,48.13,48.75
1995-10-13,48.88,48.38
1995-10-16,48.38,47.75
1995-10-17,47.88,47.13
1995-10-18,47.0,46.5
1995-10-19,46.75,45.5
1995-10-20,45.25,44.88
1995-10-23,43.75,44.0
1995-10-24,44.0,43.5
1995-10-25,43.75,42.75
1995-10-26,42.63,42.88
1995-10-27,42.38,43.38
1995-10-30,43.75,42.88
1995-10-31,42.88,42.0
