Date,Open,Close
1995-10-02,38.63,37.66
1995-10-03,38.0,38.63
1995-10-04,38.13,38.0
1995-10-05,38.0,38.5
1995-10-06,38.75,37.75
1995-10-09,37.5,36.88
1995-10-10,36.25,37.0
1995-10-11,38.75,38.5
1995-10-12,38.88,39.81
1995-10-13,40.13,39.5
1995-10-16,39.63,40.0
1995-10-17,40.13,40.81
1995-10-18,41.38,43.0
1995-10-19,42.75,44.25
1995-10-20,44.38,42.63
1995-10-23,42.13,42.75
1995-10-24,43.13,43.5
1995-10-25,43.88,43.0
1995-10-26,42.75,42.38
1995-10-27,42.13,43.25
1995-10-30,43.88,44.13
1995-10-31,44.75,43.63
