Date,Open,Close
1996-01-02,69.37,69.37
1996-01-03,69.75,68.75
1996-01-04,68.5,67.12
1996-01-05,66.0,65.75
1996-01-08,65.62,66.62
1996-01-09,66.87,66.2
1996-01-10,66.0,65.25
1996-01-11,65.87,65.62
1996-01-12,65.75,66.12
1996-01-15,66.25,65.62
1996-01-16,66.0,66.0
1996-01-17,66.25,66.37
1996-01-18,67.0,65.87
1996-01-19,65.87,66.75
1996-01-22,66.25,67.0
1996-01-23,66.87,67.12
1996-01-24,67.0,67.0
1996-01-25,67.0,67.0
1996-01-26,67.0,67.0
1996-01-29,67.12,68.5
1996-01-30,68.87,69.0
1996-01-31,69.25,69.87
