Date,Open,Close
1996-01-02,44.5,44.88
1996-01-03,45.0,44.62
1996-01-04,44.5,44.0
1996-01-05,43.5,43.25
1996-01-08,43.38,43.62
1996-01-09,43.5,43.38
1996-01-10,43.25,41.88
1996-01-11,42.0,42.25
1996-01-12,42.5,43.5
1996-01-15,43.5,43.88
1996-01-16,43.75,43.0
1996-01-17,43.12,43.0
1996-01-18,42.88,42.12
1996-01-19,43.0,42.75
1996-01-22,42.75,43.0
1996-01-23,43.12,43.25
1996-01-24,43.25,44.5
1996-01-25,44.25,44.62
1996-01-26,44.5,45.12
1996-01-29,45.12,45.5
1996-01-30,45.5,45.25
1996-01-31,45.38,45.38
