Date,Open,Close
1996-07-01,71.0,71.38
1996-07-02,71.12,71.12
1996-07-03,70.88,71.38
1996-07-05,69.5,68.75
1996-07-08,68.0,67.25
1996-07-09,67.75,67.88
1996-07-10,68.38,68.62
1996-07-11,68.5,67.75
1996-07-12,67.88,68.0
1996-07-15,68.12,65.87
1996-07-16,66.5,66.75
1996-07-17,67.63,67.75
1996-07-18,68.25,69.5
1996-07-19,69.38,68.75
1996-07-22,68.38,68.0
1996-07-23,68.25,67.0
1996-07-24,66.25,66.88
1996-07-25,67.37,68.38
1996-07-26,68.38,69.13
1996-07-29,68.87,67.88
1996-07-30,68.5,68.75
1996-07-31,68.62,69.5
