Date,Open,Close
1996-10-01,58.375,58.0
1996-10-02,58.75,59.5
1996-10-03,58.0,58.125
1996-10-04,58.75,59.5
1996-10-07,62.5,61.25
1996-10-08,61.5,59.75
1996-10-09,62.5,61.25
1996-10-10,60.75,59.75
1996-10-11,60.0,59.25
1996-10-14,62.75,60.75
1996-10-15,60.75,62.5
1996-10-16,62.75,60.75
1996-10-17,61.25,62.5
1996-10-18,62.5,60.875
1996-10-21,60.5,58.37
1996-10-22,57.63,55.0
1996-10-23,60.5,58.375
1996-10-24,57.875,55.0
1996-10-25,55.5,57.5
1996-10-28,58.5,58.37
1996-10-29,58.25,56.75
1996-10-30,58.5,58.375
1996-10-31,58.25,56.75
