Date,Open,Close
1997-01-02,37.75,36.37
1997-01-03,36.5,37.0
1997-01-06,37.0,37.5
1997-01-07,37.5,38.25
1997-01-08,38.37,38.62
1997-01-09,38.37,39.37
1997-01-10,39.12,40.62
1997-01-13,40.25,39.62
1997-01-14,39.75,40.75
1997-01-15,40.62,40.25
1997-01-16,40.25,40.5
1997-01-17,40.62,40.62
1997-01-20,40.37,40.75
1997-01-21,40.5,41.12
1997-01-22,41.12,40.5
1997-01-23,40.62,40.12
1997-01-24,39.87,39.87
1997-01-27,39.87,39.75
1997-01-28,40.0,39.62
1997-01-29,39.87,40.0
1997-01-30,40.0,40.25
1997-01-31,40.25,40.0
