Date,Open,Close
1997-04-01,37.5,37.13
1997-04-02,37.5,37.0
1997-04-03,36.5,37.63
1997-04-04,37.5,38.5
1997-04-07,39.0,39.25
1997-04-08,39.5,39.25
1997-04-09,39.63,38.88
1997-04-10,39.0,39.38
1997-04-11,39.0,38.0
1997-04-14,38.0,39.25
1997-04-15,39.5,40.13
1997-04-16,39.75,40.38
1997-04-17,40.63,40.75
1997-04-18,40.88,40.88
1997-04-21,41.0,41.13
1997-04-22,41.25,42.0
1997-04-23,41.88,42.25
1997-04-24,42.25,42.0
1997-04-25,41.88,42.25
1997-04-28,42.25,43.13
1997-04-29,44.38,45.38
1997-04-30,45.38,44.5
