Date,Open,Close
1997-04-01,26.25,26.38
1997-04-02,26.13,26.25
1997-04-03,26.13,25.88
1997-04-04,25.75,25.75
1997-04-07,25.75,24.5
1997-04-08,24.5,24.5
1997-04-09,24.5,23.88
1997-04-10,24.0,24.38
1997-04-11,24.0,24.13
1997-04-14,24.25,24.13
1997-04-15,24.25,24.13
1997-04-16,24.13,24.13
1997-04-17,24.13,24.0
1997-04-18,24.0,23.88
1997-04-21,24.0,23.75
1997-04-22,23.63,23.88
1997-04-23,24.0,23.88
1997-04-24,23.75,23.25
1997-04-25,23.25,23.13
1997-04-28,23.0,23.88
1997-04-29,24.38,24.38
1997-04-30,24.13,24.13
