Date,Open,Close
1997-04-01,41.38,43.0
1997-04-02,43.13,44.75
1997-04-03,44.13,44.0
1997-04-04,44.0,44.0
1997-04-07,44.63,45.38
1997-04-08,45.5,45.25
1997-04-09,45.13,44.0
1997-04-10,44.38,44.25
1997-04-11,44.25,43.0
1997-04-14,43.0,43.13
1997-04-15,44.13,44.5
1997-04-16,44.5,44.5
1997-04-17,44.63,45.13
1997-04-18,46.0,45.63
1997-04-21,45.63,44.25
1997-04-22,44.25,45.88
1997-04-23,46.63,45.13
1997-04-24,45.13,45.63
1997-04-25,45.0,44.38
1997-04-28,44.38,44.63
1997-04-29,45.0,45.25
1997-04-30,45.25,46.25
