Date,Open,Close
1997-07-01,38.59,38.03
1997-07-02,37.96,38.4
1997-07-03,38.59,38.96
1997-07-07,38.71,38.9
1997-07-08,38.96,39.59
1997-07-09,39.59,39.03
1997-07-10,38.96,39.65
1997-07-11,39.65,39.96
1997-07-14,39.96,40.52
1997-07-15,40.59,40.9
1997-07-16,40.96,41.71
1997-07-17,41.71,41.65
1997-07-18,41.59,41.27
1997-07-21,40.71,40.21
1997-07-22,39.96,40.4
1997-07-23,40.46,41.09
1997-07-24,40.96,40.46
1997-07-25,40.52,40.65
1997-07-28,40.71,40.4
1997-07-29,40.34,41.15
1997-07-30,41.15,40.9
1997-07-31,40.9,40.27
