Date,Open,Close
1997-12-01,54.88,56.12
1997-12-02,56.0,56.19
1997-12-03,56.19,57.19
1997-12-04,57.5,57.81
1997-12-05,57.25,58.38
1997-12-08,58.75,58.62
1997-12-09,58.62,57.81
1997-12-10,57.19,57.81
1997-12-11,57.0,57.06
1997-12-12,57.31,55.94
1997-12-15,55.81,54.75
1997-12-16,55.75,54.88
1997-12-17,55.0,55.38
1997-12-18,55.38,53.62
1997-12-19,52.88,53.44
1997-12-22,54.19,54.06
1997-12-23,53.75,53.75
1997-12-24,53.75,52.25
1997-12-26,52.12,52.94
1997-12-29,53.0,55.19
1997-12-30,55.19,57.19
1997-12-31,57.19,59.12
