Date,Open,Close
1998-03-02,38.56,38.19
1998-03-03,38.0,38.19
1998-03-04,38.31,38.44
1998-03-05,37.5,38.31
1998-03-06,38.44,39.44
1998-03-09,39.38,38.69
1998-03-10,38.75,39.0
1998-03-11,39.0,38.5
1998-03-12,37.25,37.5
1998-03-13,37.38,38.06
1998-03-16,38.31,38.13
1998-03-17,38.0,37.88
1998-03-18,37.88,37.69
1998-03-19,37.63,37.88
1998-03-20,38.38,38.25
1998-03-23,38.13,38.19
1998-03-24,38.19,38.13
1998-03-25,38.5,38.13
1998-03-26,38.31,37.75
1998-03-27,37.69,37.63
1998-03-30,37.38,37.69
1998-03-31,37.63,38.0
