Date,Open,Close
1998-06-01,52.56,52.0
1998-06-02,52.5,52.5
1998-06-03,52.94,50.81
1998-06-04,50.75,51.5
1998-06-05,51.88,50.94
1998-06-08,51.5,52.0
1998-06-09,52.0,51.81
1998-06-10,51.5,50.13
1998-06-11,50.06,49.25
1998-06-12,49.25,50.13
1998-06-15,49.88,49.06
1998-06-16,49.31,50.06
1998-06-17,50.44,49.13
1998-06-18,48.56,50.06
1998-06-19,50.31,49.75
1998-06-22,49.94,50.88
1998-06-23,51.31,52.0
1998-06-24,52.69,54.31
1998-06-25,54.38,52.94
1998-06-26,52.94,52.5
1998-06-29,52.75,53.88
1998-06-30,53.63,52.56
