Date,Open,Close
1998-07-01,36.38,36.75
1998-07-02,36.94,36.69
1998-07-06,36.94,37.0
1998-07-07,37.25,36.62
1998-07-08,36.75,37.88
1998-07-09,37.75,37.38
1998-07-10,37.38,37.06
1998-07-13,37.0,37.25
1998-07-14,37.62,38.56
1998-07-15,38.62,38.06
1998-07-16,38.0,38.94
1998-07-17,38.94,38.62
1998-07-20,39.38,40.75
1998-07-21,40.62,41.81
1998-07-22,41.81,42.19
1998-07-23,42.06,41.5
1998-07-24,40.88,40.69
1998-07-27,40.44,41.12
1998-07-28,40.94,41.5
1998-07-29,41.38,40.44
1998-07-30,40.44,42.38
1998-07-31,42.5,40.88
