Date,Open,Close
1998-12-01,64.63,66.38
1998-12-02,66.63,66.75
1998-12-03,66.81,66.88
1998-12-04,67.0,67.25
1998-12-07,77.5,72.0
1998-12-08,73.38,73.06
1998-12-09,73.25,73.75
1998-12-10,73.5,72.5
1998-12-11,72.13,71.81
1998-12-14,71.81,70.25
1998-12-15,70.5,70.94
1998-12-16,71.13,72.0
1998-12-17,73.88,76.31
1998-12-18,77.31,82.38
1998-12-21,83.13,84.5
1998-12-22,85.94,90.69
1998-12-23,91.94,89.75
1998-12-24,90.0,88.69
1998-12-28,88.75,89.5
1998-12-29,90.0,88.5
1998-12-30,89.13,89.19
1998-12-31,89.38,89.19
