Date,Open,Close
1999-03-01,22.0,22.56
1999-03-02,22.56,22.0
1999-03-03,22.0,21.88
1999-03-04,21.88,21.69
1999-03-05,21.56,21.19
1999-03-08,21.25,21.19
1999-03-09,21.25,21.25
1999-03-10,21.25,21.0
1999-03-11,21.13,21.75
1999-03-12,21.94,22.0
1999-03-15,21.88,21.94
1999-03-16,21.94,21.81
1999-03-17,21.88,21.88
1999-03-18,21.94,21.63
1999-03-19,22.0,21.56
1999-03-22,21.56,21.0
1999-03-23,20.88,20.06
1999-03-24,20.0,20.31
1999-03-25,20.75,20.88
1999-03-26,20.63,20.56
1999-03-29,20.56,21.81
1999-03-30,20.94,20.25
1999-03-31,20.38,20.63
