Date,Open,Close
1999-06-01,72.69,70.63
1999-06-02,70.0,73.13
1999-06-03,73.25,72.5
1999-06-04,73.5,74.25
1999-06-07,73.75,72.88
1999-06-08,73.0,72.38
1999-06-09,73.0,72.0
1999-06-10,71.25,72.75
1999-06-11,72.94,73.0
1999-06-14,73.06,74.13
1999-06-15,73.75,74.13
1999-06-16,74.38,75.94
1999-06-17,77.94,77.31
1999-06-18,77.38,77.5
1999-06-21,77.75,77.19
1999-06-22,76.81,77.0
1999-06-23,76.75,76.19
1999-06-24,75.56,74.5
1999-06-25,74.75,74.13
1999-06-28,74.0,74.88
1999-06-29,74.63,77.94
1999-06-30,76.81,75.69
