Date,Open,Close
1999-08-02,27.31,27.81
1999-08-03,27.75,27.81
1999-08-04,27.81,27.62
1999-08-05,27.62,27.56
1999-08-06,27.5,27.62
1999-08-09,27.62,27.75
1999-08-10,27.75,27.19
1999-08-11,27.25,27.06
1999-08-12,26.5,26.44
1999-08-13,26.44,26.69
1999-08-16,26.56,26.62
1999-08-17,26.62,26.88
1999-08-18,26.81,26.62
1999-08-19,26.5,26.69
1999-08-20,26.69,27.44
1999-08-23,27.5,27.44
1999-08-24,27.38,27.62
1999-08-25,27.5,28.0
1999-08-26,27.75,27.75
1999-08-27,27.69,27.69
1999-08-30,27.62,27.69
1999-08-31,27.69,27.69
