Date,Open,Close
1999-12-01,46.5,46.5
1999-12-02,47.25,48.44
1999-12-03,49.25,50.88
1999-12-06,50.88,50.0
1999-12-07,50.5,52.44
1999-12-08,52.38,53.25
1999-12-09,55.5,54.44
1999-12-10,55.13,55.75
1999-12-13,55.75,57.0
1999-12-14,57.5,56.13
1999-12-15,57.0,55.56
1999-12-16,55.38,57.31
1999-12-17,58.06,58.06
1999-12-20,57.0,55.75
1999-12-21,56.25,54.88
1999-12-22,53.0,52.0
1999-12-23,51.75,52.44
1999-12-27,52.63,53.5
1999-12-28,53.5,53.94
1999-12-29,54.25,54.44
1999-12-30,54.63,55.13
1999-12-31,55.13,57.69
