Date,Open,Close
2000-03-01,38.19,40.94
2000-03-02,40.81,42.19
2000-03-03,42.19,40.88
2000-03-06,42.0,41.25
2000-03-07,41.31,44.5
2000-03-08,42.5,39.88
2000-03-09,40.88,40.13
2000-03-10,39.5,39.56
2000-03-13,38.38,38.88
2000-03-14,38.56,38.15
2000-03-15,38.44,37.88
2000-03-16,37.13,39.38
2000-03-17,38.56,38.38
2000-03-20,37.5,36.19
2000-03-21,36.88,37.5
2000-03-22,38.25,38.69
2000-03-23,38.38,37.88
2000-03-24,38.94,39.0
2000-03-27,38.0,38.13
2000-03-28,37.56,37.69
2000-03-29,37.25,40.25
2000-03-30,40.13,40.56
2000-03-31,40.81,41.13
