Date,Open,Close
2000-03-01,16.75,16.31
2000-03-02,16.38,16.19
2000-03-03,16.19,16.0
2000-03-06,16.0,15.56
2000-03-07,15.56,15.44
2000-03-08,15.31,15.81
2000-03-09,15.75,16.88
2000-03-10,17.0,17.0
2000-03-13,17.06,16.81
2000-03-14,16.81,16.69
2000-03-15,16.75,18.25
2000-03-16,18.19,19.81
2000-03-17,21.69,20.0
2000-03-20,20.0,19.13
2000-03-21,20.13,20.0
2000-03-22,19.75,19.31
2000-03-23,19.13,19.69
2000-03-24,19.62,19.31
2000-03-27,19.56,19.31
2000-03-28,19.31,19.13
2000-03-29,19.31,20.13
2000-03-30,20.31,19.88
2000-03-31,19.94,21.5
