Date,Open,Close
2000-05-01,83.38,84.44
2000-05-02,84.19,83.25
2000-05-03,82.25,81.25
2000-05-04,80.0,80.13
2000-05-05,80.38,82.0
2000-05-08,81.88,81.75
2000-05-09,81.25,80.0
2000-05-10,80.25,79.38
2000-05-11,79.63,80.56
2000-05-12,79.31,80.06
2000-05-15,80.31,80.75
2000-05-16,81.0,82.0
2000-05-17,81.75,82.75
2000-05-18,82.94,82.63
2000-05-19,82.38,80.25
2000-05-22,80.5,79.0
2000-05-23,79.38,77.69
2000-05-24,77.94,77.19
2000-05-25,76.94,74.88
2000-05-26,74.81,73.88
2000-05-30,74.0,73.69
2000-05-31,74.19,74.56
