Date,Open,Close
2000-06-01,40.75,40.88
2000-06-02,41.13,39.13
2000-06-05,38.88,39.75
2000-06-06,39.19,40.19
2000-06-07,40.06,40.19
2000-06-08,40.94,40.63
2000-06-09,40.75,40.81
2000-06-12,40.88,40.31
2000-06-13,40.19,41.06
2000-06-14,41.38,42.0
2000-06-15,42.06,42.88
2000-06-16,42.88,42.44
2000-06-19,42.56,42.56
2000-06-20,42.19,41.81
2000-06-21,41.81,41.56
2000-06-22,41.06,40.81
2000-06-23,41.0,40.44
2000-06-26,40.38,41.06
2000-06-27,40.94,41.56
2000-06-28,41.88,42.54
2000-06-29,43.19,41.88
2000-06-30,41.0,44.56
