Date,Open,Close
2000-06-01,27.13,26.56
2000-06-02,27.19,27.31
2000-06-05,27.31,26.69
2000-06-06,26.5,26.19
2000-06-07,26.0,25.19
2000-06-08,25.5,25.0
2000-06-09,25.0,24.94
2000-06-12,25.0,24.31
2000-06-13,24.31,24.31
2000-06-14,24.63,24.19
2000-06-15,24.19,23.75
2000-06-16,23.5,23.56
2000-06-19,23.56,23.38
2000-06-20,20.0,19.5
2000-06-21,18.81,19.13
2000-06-22,19.63,19.69
2000-06-23,19.94,18.69
2000-06-26,19.13,19.0
2000-06-27,18.69,19.19
2000-06-28,19.13,19.39
2000-06-29,19.25,19.06
2000-06-30,19.06,19.5
