Date,Open,Close
2001-03-01,29.04,29.21
2001-03-02,29.21,28.85
2001-03-05,28.6,28.56
2001-03-06,28.1,28.85
2001-03-07,28.85,28.4
2001-03-08,28.2,29.3
2001-03-09,29.3,28.95
2001-03-12,28.65,28.06
2001-03-13,27.75,27.8
2001-03-14,26.3,27.55
2001-03-15,27.3,27.24
2001-03-16,26.8,26.5
2001-03-19,26.24,26.38
2001-03-20,26.4,25.77
2001-03-21,25.6,25.65
2001-03-22,25.15,25.11
2001-03-23,25.25,25.0
2001-03-26,25.0,25.3
2001-03-27,25.3,25.33
2001-03-28,25.28,25.28
2001-03-29,25.25,26.49
2001-03-30,25.65,26.55
