Date,Open,Close
2001-10-01,46.7,46.43
2001-10-02,46.4,46.5
2001-10-03,47.7,47.5
2001-10-04,48.26,47.0
2001-10-05,47.55,46.62
2001-10-08,47.06,46.22
2001-10-09,46.32,45.57
2001-10-10,45.75,47.29
2001-10-11,48.05,50.1
2001-10-12,50.2,49.35
2001-10-15,48.95,48.18
2001-10-16,48.8,49.06
2001-10-17,49.7,48.26
2001-10-18,48.4,48.36
2001-10-19,48.5,48.89
2001-10-22,47.6,50.27
2001-10-23,50.05,49.84
2001-10-24,51.0,50.27
2001-10-25,50.28,50.64
2001-10-26,50.4,52.09
2001-10-29,52.01,50.15
2001-10-30,50.49,49.39
2001-10-31,49.39,49.02
