Date,Open,Close
2001-10-01,35.6,35.62
2001-10-02,36.4,36.4
2001-10-03,36.98,36.88
2001-10-04,36.97,36.7
2001-10-05,36.95,36.7
2001-10-08,36.63,36.18
2001-10-09,36.26,35.36
2001-10-10,35.27,35.2
2001-10-11,35.2,34.75
2001-10-12,34.5,34.56
2001-10-15,34.5,34.95
2001-10-16,35.05,35.63
2001-10-17,35.65,35.86
2001-10-18,35.86,35.51
2001-10-19,35.52,36.29
2001-10-22,36.15,36.46
2001-10-23,36.25,36.0
2001-10-24,36.0,35.6
2001-10-25,35.4,35.3
2001-10-26,35.3,34.75
2001-10-29,34.65,34.28
2001-10-30,34.27,34.0
2001-10-31,34.0,34.46
