Date,Open,Close
2001-10-01,45.8,45.13
2001-10-02,45.15,45.85
2001-10-03,47.0,46.94
2001-10-04,47.5,46.71
2001-10-05,46.5,45.64
2001-10-08,45.4,44.07
2001-10-09,44.3,44.24
2001-10-10,43.75,43.67
2001-10-11,43.46,42.96
2001-10-12,42.25,41.75
2001-10-15,41.75,41.7
2001-10-16,42.0,42.0
2001-10-17,42.01,41.15
2001-10-18,41.15,41.05
2001-10-19,41.05,40.88
2001-10-22,40.7,42.27
2001-10-23,43.4,42.36
2001-10-24,43.05,42.78
2001-10-25,42.53,43.52
2001-10-26,43.45,43.84
2001-10-29,43.84,42.76
2001-10-30,43.5,43.2
2001-10-31,43.45,42.35
