Date,Open,Close
2002-04-01,46.38,45.95
2002-04-02,44.9,43.52
2002-04-03,43.77,42.32
2002-04-04,42.32,42.81
2002-04-05,43.5,42.73
2002-04-08,42.73,42.78
2002-04-09,42.78,41.3
2002-04-10,41.3,41.91
2002-04-11,41.7,40.4
2002-04-12,40.59,41.62
2002-04-15,41.86,41.99
2002-04-16,44.0,43.89
2002-04-17,44.0,44.52
2002-04-18,43.9,43.5
2002-04-19,43.51,41.5
2002-04-22,41.35,41.05
2002-04-23,41.45,39.69
2002-04-24,40.1,38.13
2002-04-25,38.13,37.55
2002-04-26,38.05,36.24
2002-04-29,36.35,35.75
2002-04-30,36.7,36.96
