Date,Open,Close
2002-05-01,62.45,62.95
2002-05-02,62.85,62.3
2002-05-03,62.65,62.85
2002-05-06,62.85,61.42
2002-05-07,61.03,61.75
2002-05-08,61.35,62.5
2002-05-09,62.35,62.25
2002-05-10,62.6,61.52
2002-05-13,61.75,62.03
2002-05-14,62.09,61.9
2002-05-15,61.15,60.77
2002-05-16,60.35,61.25
2002-05-17,61.95,61.7
2002-05-20,61.5,60.96
2002-05-21,60.96,62.07
2002-05-22,62.2,62.9
2002-05-23,63.0,63.08
2002-05-24,62.45,62.38
2002-05-28,62.4,62.67
2002-05-29,62.0,62.6
2002-05-30,62.0,63.14
2002-05-31,62.92,62.05
