Date,Open,Close
2002-05-01,20.97,21.51
2002-05-02,21.75,21.94
2002-05-03,21.7,21.94
2002-05-06,21.9,21.1
2002-05-07,21.15,21.39
2002-05-08,21.5,22.66
2002-05-09,22.2,22.52
2002-05-10,22.46,22.15
2002-05-13,22.2,22.27
2002-05-14,22.27,22.17
2002-05-15,21.8,22.48
2002-05-16,22.68,22.44
2002-05-17,22.55,22.5
2002-05-20,22.5,22.1
2002-05-21,22.2,21.61
2002-05-22,21.55,21.8
2002-05-23,21.9,22.05
2002-05-24,22.05,21.76
2002-05-28,21.75,21.45
2002-05-29,21.3,21.08
2002-05-30,20.83,20.68
2002-05-31,20.6,21.94
