Date,Open,Close
2002-07-01,41.75,41.24
2002-07-02,41.05,40.56
2002-07-03,40.7,40.0
2002-07-05,40.15,40.05
2002-07-08,39.9,39.94
2002-07-09,39.9,39.0
2002-07-10,39.4,37.75
2002-07-11,37.5,38.65
2002-07-12,38.66,37.6
2002-07-15,37.61,37.58
2002-07-16,37.55,37.15
2002-07-17,37.17,37.05
2002-07-18,37.05,36.35
2002-07-19,35.7,34.87
2002-07-22,34.8,35.44
2002-07-23,35.44,33.58
2002-07-24,32.7,36.76
2002-07-25,36.9,39.0
2002-07-26,38.9,39.16
2002-07-29,39.3,39.88
2002-07-30,39.88,42.1
2002-07-31,42.0,42.85
