Date,Open,Close
2002-07-01,43.55,44.96
2002-07-02,45.4,45.7
2002-07-03,46.2,45.27
2002-07-05,46.0,46.21
2002-07-08,46.44,47.4
2002-07-09,47.03,46.69
2002-07-10,46.71,45.17
2002-07-11,45.0,44.0
2002-07-12,44.16,42.92
2002-07-15,42.61,42.4
2002-07-16,42.21,42.49
2002-07-17,43.45,44.12
2002-07-18,44.13,42.45
2002-07-19,42.45,41.69
2002-07-22,42.0,42.05
2002-07-23,42.25,44.2
2002-07-24,43.3,44.66
2002-07-25,44.96,44.95
2002-07-26,44.8,46.3
2002-07-29,46.75,47.2
2002-07-30,46.95,46.76
2002-07-31,46.77,46.05
