Date,Open,Close
2002-07-01,35.0,33.9
2002-07-02,33.72,32.8
2002-07-03,32.8,32.5
2002-07-05,33.8,34.39
2002-07-08,34.64,34.41
2002-07-09,34.0,33.1
2002-07-10,32.13,31.03
2002-07-11,31.04,32.6
2002-07-12,32.45,32.2
2002-07-15,28.05,28.78
2002-07-16,28.3,28.55
2002-07-17,29.25,29.26
2002-07-18,29.26,27.98
2002-07-19,27.52,26.82
2002-07-22,26.98,25.92
2002-07-23,26.12,26.05
2002-07-24,26.1,27.89
2002-07-25,27.89,28.07
2002-07-26,28.5,29.46
2002-07-29,30.7,30.85
2002-07-30,30.69,31.17
2002-07-31,31.17,32.35
