Date,Open,Close
2002-08-01,14.93,14.02
2002-08-02,13.85,13.7
2002-08-05,13.53,12.76
2002-08-06,13.0,13.56
2002-08-07,14.07,13.56
2002-08-08,13.43,14.35
2002-08-09,13.98,13.86
2002-08-12,13.33,13.58
2002-08-13,13.65,13.46
2002-08-14,13.11,14.42
2002-08-15,14.43,13.86
2002-08-16,13.49,14.7
2002-08-19,14.56,15.47
2002-08-20,15.14,15.03
2002-08-21,15.43,16.04
2002-08-22,15.83,16.17
2002-08-23,15.7,15.08
2002-08-26,15.15,14.96
2002-08-27,14.91,13.93
2002-08-28,13.66,13.25
2002-08-29,13.04,13.44
2002-08-30,13.1,13.36
