Date,Open,Close
2002-08-01,58.1,57.48
2002-08-02,57.23,56.61
2002-08-05,56.61,54.63
2002-08-06,55.12,55.92
2002-08-07,56.5,56.01
2002-08-08,57.5,59.25
2002-08-09,58.95,59.35
2002-08-12,58.5,58.3
2002-08-13,57.95,57.27
2002-08-14,57.5,57.58
2002-08-15,57.7,58.0
2002-08-16,57.15,58.12
2002-08-19,57.9,58.9
2002-08-20,58.91,57.81
2002-08-21,58.1,58.21
2002-08-22,58.25,59.14
2002-08-23,58.95,58.14
2002-08-26,58.21,58.82
2002-08-27,59.0,58.91
2002-08-28,58.91,58.09
2002-08-29,57.65,58.22
2002-08-30,58.22,58.5
