Date,Open,Close
2002-08-01,13.63,13.4
2002-08-02,13.4,12.85
2002-08-05,12.6,12.5
2002-08-06,12.5,12.1
2002-08-07,12.15,12.34
2002-08-08,12.34,13.2
2002-08-09,13.02,13.26
2002-08-12,12.95,12.72
2002-08-13,12.73,12.6
2002-08-14,12.57,11.73
2002-08-15,12.0,12.48
2002-08-16,12.45,12.85
2002-08-19,12.53,13.15
2002-08-20,13.25,13.45
2002-08-21,13.71,14.85
2002-08-22,14.8,15.23
2002-08-23,15.1,14.68
2002-08-26,14.65,14.88
2002-08-27,14.89,14.57
2002-08-28,14.52,14.34
2002-08-29,14.05,14.52
2002-08-30,14.23,14.21
