Date,Open,Close
2002-08-01,21.2,21.14
2002-08-02,21.38,20.57
2002-08-05,20.58,21.13
2002-08-06,21.13,20.82
2002-08-07,21.06,21.12
2002-08-08,21.35,21.58
2002-08-09,21.58,21.77
2002-08-12,21.6,22.14
2002-08-13,21.97,21.19
2002-08-14,21.02,22.21
2002-08-15,22.21,22.54
2002-08-16,22.05,21.56
2002-08-19,21.75,22.4
2002-08-20,22.39,22.04
2002-08-21,22.05,22.6
2002-08-22,22.5,23.39
2002-08-23,23.15,22.78
2002-08-26,23.03,23.32
2002-08-27,23.4,23.36
2002-08-28,23.36,23.13
2002-08-29,23.38,23.08
2002-08-30,23.12,24.01
