Date,Open,Close
2002-10-01,50.87,53.2
2002-10-02,53.05,51.27
2002-10-03,51.17,50.15
2002-10-04,50.6,49.85
2002-10-07,50.05,49.11
2002-10-08,49.3,51.28
2002-10-09,50.93,49.2
2002-10-10,48.96,51.74
2002-10-11,51.9,53.6
2002-10-14,53.3,53.63
2002-10-15,54.45,55.34
2002-10-16,55.34,55.2
2002-10-17,57.35,57.1
2002-10-18,56.75,56.76
2002-10-21,56.7,58.0
2002-10-22,57.85,57.06
2002-10-23,56.5,57.04
2002-10-24,57.1,55.63
2002-10-25,55.63,56.94
2002-10-28,57.5,56.02
2002-10-29,55.75,54.76
2002-10-30,54.96,55.22
2002-10-31,55.12,55.0
