Date,Open,Close
2003-10-01,55.65,57.47
2003-10-02,57.8,57.38
2003-10-03,57.88,58.28
2003-10-06,58.2,58.64
2003-10-07,58.69,59.11
2003-10-08,59.12,58.53
2003-10-09,59.03,59.14
2003-10-10,59.14,59.2
2003-10-13,59.38,60.0
2003-10-14,58.62,58.26
2003-10-15,58.55,57.03
2003-10-16,57.01,56.86
2003-10-17,56.79,56.05
2003-10-20,56.09,56.11
2003-10-21,56.25,56.09
2003-10-22,55.85,55.87
2003-10-23,55.9,56.39
2003-10-24,56.29,56.72
2003-10-27,56.97,57.33
2003-10-28,57.18,57.66
2003-10-29,57.59,57.18
2003-10-30,57.72,57.95
2003-10-31,58.17,58.17
