Date,Open,Close
2003-10-01,86.0,87.29
2003-10-02,86.9,86.39
2003-10-03,86.39,86.45
2003-10-06,86.6,85.85
2003-10-07,85.6,86.29
2003-10-08,86.29,85.69
2003-10-09,86.2,86.24
2003-10-10,86.24,85.57
2003-10-13,86.05,85.4
2003-10-14,85.43,86.14
2003-10-15,86.14,85.5
2003-10-16,85.39,84.75
2003-10-17,85.5,86.33
2003-10-20,86.33,86.43
2003-10-21,86.0,86.55
2003-10-22,86.55,85.88
2003-10-23,85.89,86.68
2003-10-24,86.68,86.92
2003-10-27,86.92,86.86
2003-10-28,86.86,87.5
2003-10-29,88.52,90.36
2003-10-30,90.36,89.99
2003-10-31,89.99,89.4
