Date,Open,Close
2003-12-01,34.7,35.13
2003-12-02,35.14,35.0
2003-12-03,35.12,34.92
2003-12-04,34.87,34.78
2003-12-05,34.4,33.91
2003-12-08,33.85,34.92
2003-12-09,34.9,34.24
2003-12-10,34.21,34.28
2003-12-11,34.28,34.2
2003-12-12,34.1,33.54
2003-12-15,33.65,33.81
2003-12-16,33.81,33.29
2003-12-17,33.3,32.81
2003-12-18,32.9,32.96
2003-12-19,33.0,32.8
2003-12-22,32.62,33.29
2003-12-23,33.4,33.78
2003-12-24,33.78,33.71
2003-12-26,33.55,33.64
2003-12-29,33.65,34.14
2003-12-30,34.25,34.43
2003-12-31,34.35,34.4
