Date,Open,Close
2004-03-01,48.9,49.55
2004-03-02,49.25,49.23
2004-03-03,49.1,48.91
2004-03-04,48.91,48.92
2004-03-05,48.63,48.82
2004-03-08,48.95,49.89
2004-03-09,49.95,49.4
2004-03-10,49.4,48.7
2004-03-11,48.5,47.02
2004-03-12,47.5,47.4
2004-03-15,47.3,47.0
2004-03-16,47.05,47.16
2004-03-17,47.4,47.5
2004-03-18,47.4,47.65
2004-03-19,47.55,47.82
2004-03-22,47.8,47.31
2004-03-23,47.56,47.62
2004-03-24,47.47,48.1
2004-03-25,48.1,48.2
2004-03-26,47.88,47.75
2004-03-29,48.0,48.7
2004-03-30,48.45,48.74
2004-03-31,48.8,48.48
